caucus,claim_id,constituency,csv_title,date,departure,destination,download_url,extracted_at,institution,mp_id,name,purpose_of_travel,traveller_name,traveller_type,departure_normalized,destination_normalized,destination_distance_to_airport,destination_full_address,destination_latitude,destination_longitude,destination_nearest_airport_icao,departure_distance_to_airport,departure_full_address,departure_latitude,departure_longitude,departure_nearest_airport_icao,distance_between_locations,passenger_class,est_carbon_emissions
Conservative,T0210951,Parry Sound—Muskoka,"Members – Detailed Travel Expenditures Report – Aitchison, Scott – Q4 2021",2021-03-26,Ottawa,Baysville,https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/4/841d07d2-a1e0-4fd9-afb3-f05260d42001/csv,2024-01-14T13:51:17.817-05:00,Members,841d07d2-a1e0-4fd9-afb3-f05260d42001,"Aitchison, Scott",To travel to/from constituency and Ottawa,"Aitchison, Scott",Member,OTTAWA,BAYSVILLE,24.439815521240234,"Baysville, District Municipality of Muskoka, Muskoka District, Central Ontario, Ontario, Canada",45.1497562,-79.1151352,CYQA,6.048675537109375,"Ottawa, Eastern Ontario, Ontario, Canada",45.4208777,-75.6901106,CYOW,269.6239,economy-class,97410
Conservative,T0210951,Parry Sound—Muskoka,"Members – Detailed Travel Expenditures Report – Aitchison, Scott – Q4 2021",2021-03-26,Ottawa,Baysville,https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/4/841d07d2-a1e0-4fd9-afb3-f05260d42001/csv,2024-01-14T13:51:17.817-05:00,Members,841d07d2-a1e0-4fd9-afb3-f05260d42001,"Aitchison, Scott",To travel to/from constituency and Ottawa,"Aitchison, Scott",Member,OTTAWA,BAYSVILLE,24.439815521240234,"Baysville, District Municipality of Muskoka, Muskoka District, Central Ontario, Ontario, Canada",45.1497562,-79.1151352,CYQA,6.048675537109375,"Ottawa, Eastern Ontario, Ontario, Canada",45.4208777,-75.6901106,CYOW,269.6239,economy-class,97410
Conservative,T0210951,Parry Sound—Muskoka,"Members – Detailed Travel Expenditures Report – Aitchison, Scott – Q4 2021",2021-03-26,Ottawa,Baysville,https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/4/841d07d2-a1e0-4fd9-afb3-f05260d42001/csv,2024-01-14T13:51:17.817-05:00,Members,841d07d2-a1e0-4fd9-afb3-f05260d42001,"Aitchison, Scott",To travel to/from constituency and Ottawa,"Aitchison, Scott",Member,OTTAWA,BAYSVILLE,24.439815521240234,"Baysville, District Municipality of Muskoka, Muskoka District, Central Ontario, Ontario, Canada",45.1497562,-79.1151352,CYQA,6.048675537109375,"Ottawa, Eastern Ontario, Ontario, Canada",45.4208777,-75.6901106,CYOW,269.6239,economy-class,97410
Conservative,T0210059,Parry Sound—Muskoka,"Members – Detailed Travel Expenditures Report – Aitchison, Scott – Q4 2021",2021-02-19,Ottawa,Baysville,https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/4/841d07d2-a1e0-4fd9-afb3-f05260d42001/csv,2024-01-14T13:51:17.817-05:00,Members,841d07d2-a1e0-4fd9-afb3-f05260d42001,"Aitchison, Scott",To travel to/from constituency and Ottawa,"Aitchison, Scott",Member,OTTAWA,BAYSVILLE,24.439815521240234,"Baysville, District Municipality of Muskoka, Muskoka District, Central Ontario, Ontario, Canada",45.1497562,-79.1151352,CYQA,6.048675537109375,"Ottawa, Eastern Ontario, Ontario, Canada",45.4208777,-75.6901106,CYOW,269.6239,economy-class,97410
Conservative,T0210059,Parry Sound—Muskoka,"Members – Detailed Travel Expenditures Report – Aitchison, Scott – Q4 2021",2021-02-19,Ottawa,Baysville,https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/4/841d07d2-a1e0-4fd9-afb3-f05260d42001/csv,2024-01-14T13:51:17.817-05:00,Members,841d07d2-a1e0-4fd9-afb3-f05260d42001,"Aitchison, Scott",To travel to/from constituency and Ottawa,"Aitchison, Scott",Member,OTTAWA,BAYSVILLE,24.439815521240234,"Baysville, District Municipality of Muskoka, Muskoka District, Central Ontario, Ontario, Canada",45.1497562,-79.1151352,CYQA,6.048675537109375,"Ottawa, Eastern Ontario, Ontario, Canada",45.4208777,-75.6901106,CYOW,269.6239,economy-class,97410
Conservative,T0210059,Parry Sound—Muskoka,"Members – Detailed Travel Expenditures Report – Aitchison, Scott – Q4 2021",2021-02-19,Ottawa,Baysville,https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/4/841d07d2-a1e0-4fd9-afb3-f05260d42001/csv,2024-01-14T13:51:17.817-05:00,Members,841d07d2-a1e0-4fd9-afb3-f05260d42001,"Aitchison, Scott",To travel to/from constituency and Ottawa,"Aitchison, Scott",Member,OTTAWA,BAYSVILLE,24.439815521240234,"Baysville, District Municipality of Muskoka, Muskoka District, Central Ontario, Ontario, Canada",45.1497562,-79.1151352,CYQA,6.048675537109375,"Ottawa, Eastern Ontario, Ontario, Canada",45.4208777,-75.6901106,CYOW,269.6239,economy-class,97410
Conservative,T0209435,Parry Sound—Muskoka,"Members – Detailed Travel Expenditures Report – Aitchison, Scott – Q4 2021",2021-01-29,Ottawa,Baysville,https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/4/841d07d2-a1e0-4fd9-afb3-f05260d42001/csv,2024-01-14T13:51:17.817-05:00,Members,841d07d2-a1e0-4fd9-afb3-f05260d42001,"Aitchison, Scott",To travel to/from constituency and Ottawa,"Aitchison, Scott",Member,OTTAWA,BAYSVILLE,24.439815521240234,"Baysville, District Municipality of Muskoka, Muskoka District, Central Ontario, Ontario, Canada",45.1497562,-79.1151352,CYQA,6.048675537109375,"Ottawa, Eastern Ontario, Ontario, Canada",45.4208777,-75.6901106,CYOW,269.6239,economy-class,97410
Conservative,T0209435,Parry Sound—Muskoka,"Members – Detailed Travel Expenditures Report – Aitchison, Scott – Q4 2021",2021-01-29,Ottawa,Baysville,https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/4/841d07d2-a1e0-4fd9-afb3-f05260d42001/csv,2024-01-14T13:51:17.817-05:00,Members,841d07d2-a1e0-4fd9-afb3-f05260d42001,"Aitchison, Scott",To travel to/from constituency and Ottawa,"Aitchison, Scott",Member,OTTAWA,BAYSVILLE,24.439815521240234,"Baysville, District Municipality of Muskoka, Muskoka District, Central Ontario, Ontario, Canada",45.1497562,-79.1151352,CYQA,6.048675537109375,"Ottawa, Eastern Ontario, Ontario, Canada",45.4208777,-75.6901106,CYOW,269.6239,economy-class,97410
Conservative,T0209435,Parry Sound—Muskoka,"Members – Detailed Travel Expenditures Report – Aitchison, Scott – Q4 2021",2021-01-29,Ottawa,Baysville,https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/4/841d07d2-a1e0-4fd9-afb3-f05260d42001/csv,2024-01-14T13:51:17.817-05:00,Members,841d07d2-a1e0-4fd9-afb3-f05260d42001,"Aitchison, Scott",To travel to/from constituency and Ottawa,"Aitchison, Scott",Member,OTTAWA,BAYSVILLE,24.439815521240234,"Baysville, District Municipality of Muskoka, Muskoka District, Central Ontario, Ontario, Canada",45.1497562,-79.1151352,CYQA,6.048675537109375,"Ottawa, Eastern Ontario, Ontario, Canada",45.4208777,-75.6901106,CYOW,269.6239,economy-class,97410
Conservative,T0253353,Prince George—Peace River—Northern Rockies,"Members – Detailed Travel Expenditures Report – Zimmer, Bob – Q1 2024",2023-06-02,Fort St. John,Farmington,https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2024/1/5cdd2777-1233-43d1-802a-565c63028482/csv,2024-01-14T13:01:19.905-05:00,Members,5cdd2777-1233-43d1-802a-565c63028482,"Zimmer, Bob",To attend meetings about constituency issues,"Zimmer, Bob",Member,FORT ST. JOHN,FARMINGTON,82.36465454101562,"Farmington, Municipality of the County of Cumberland, Cumberland County, Nova Scotia, B0M 1E0, Canada",45.5686519,-63.8987975,CYHZ,6.79631233215332,"Fort St. John, Peace River Regional District, British Columbia, Canada",56.2524039,-120.846943,CYXJ,4037.0254,business-class,1820196
