nearest_airport,location,latitude,longitude,full_address,distance_to_airport,nearest_airport_icao
YCH,Acadieville,46.7291233,-65.2658818,"Acadieville, Acadieville Parish, Kent County, New Brunswick / Nouveau-Brunswick, Canada",33.97719955444336,CYCH
YDO,Albanel,48.883683,-72.442474,"Albanel, Maria-Chapdelaine, Saguenay–Lac-Saint-Jean, Québec, G8M 3J0, Canada",12.695927619934082,CYDO
YGM,Arnes,50.802314,-96.9953026,"Rural Municipality of Gimli, Division No. 18, Manitoba, Canada",19.664094924926758,CYGM
CAR,Arthurette,46.7908583,-67.48857,"Arthurette, Gordon Parish, Victoria County, New Brunswick / Nouveau-Brunswick, E7H 4H7, Canada",35.02895736694336,CCH2
YKF,Atwood,43.6669112,-81.0202088,"Atwood, North Perth, Perth County, Ontario, N0G 1B0, Canada",56.548377990722656,CYKF
YBX,Barr'd Harbour,50.833333,-57.033333,"Barr’d Harbour, Newfoundland, Newfoundland and Labrador, Canada",68.68189239501953,CYBX
YKA,Barrière,51.1891346,-120.133452,"Barriere, British Columbia, V0E 1E0, Canada",58.35212707519531,CYKA
YYF,Beaverdell,49.4343519,-119.0884516,"Beaverdell, Area E (Beaverdell/West Boundary), Regional District of Kootenay Boundary, British Columbia, Canada",37.2620735168457,CAU3
YMJ,Belle Plaine,50.3942989,-105.1560989,"Belle Plaine, Division No. 6, Saskatchewan, S0G 0G0, Canada",29.45220947265625,CYQR
YEN,Bienfait,49.1430593,-102.8076095,"Bienfait, Division No. 1, Saskatchewan, S0C 0M0, Canada",13.728549003601074,CYEN
YRM,Bluffton,52.7497903,-114.2922547,"Bluffton, Division No. 8, Alberta, Canada",54.53958511352539,CYRM
YQY,Boisdale,46.0961172,-60.5082915,"Boisdale, Cape Breton Regional Municipality, Cape Breton County, Nova Scotia, Canada",36.221641540527344,CYQY
ZBM,Bonsecours,45.404959,-72.305489,"Bonsecours, Le Val-Saint-François, Estrie, Québec, J0E 1H0, Canada",36.35391616821289,CZBM
YYC,Bragg Creek,50.9514689,-114.562894,"Bragg Creek, Rocky View County, Alberta, Canada",42.04104995727539,CYYC
YQQ,Buckley Bay,49.5247834,-124.8493853,"Buckley Bay, Area A (Baynes Sound), Comox Valley Regional District, British Columbia, V0R 1W0, Canada",19.670455932617188,CYQQ
YGR,Cap-aux-Meules,47.377501,-61.8661738,"Cap-aux-Meules, Les Îles-de-la-Madeleine, Communauté maritime des Îles-de-la-Madeleine, Gaspésie–Îles-de-la-Madeleine, Québec, G4T 1C9, Canada",8.455056190490723,CYGR
YMH,Cape Charles,52.2175485,-55.6384975,"Cape Charles, Labrador, Newfoundland and Labrador, Canada",17.076839447021484,CYMH
YPG,Carman,49.5082995,-98.0016853,"Carman, Division No. 3, Manitoba, R0G 0J0, Canada",48.063926696777344,CKD7
YHM,Cayuga,42.9497266,-79.8585358,"Cayuga, Haldimand County, Ontario, N0A 1E0, Canada",25.656871795654297,CYHM
YRG,Cranford,54.2209009,-57.9549086,"Cranford Head, Labrador, Newfoundland and Labrador, Canada",33.00996017456055,CCZ2
YYL,Deep Bay,56.4077709,-102.9878157,"Deep Bay, Unorganized Division No. 18, Division No. 18, Saskatchewan, Canada",105.30316162109375,CYYL
YQF,Didsbury,51.656763,-114.137568183229,"Didsbury, Alberta, Canada",60.76713562011719,CYQF
YSC,Disraeli,45.9049116,-71.3596454,"Disraeli (ville), Les Appalaches, Chaudière-Appalaches, Québec, G0N 1E0, Canada",57.905452728271484,CYSC
YFC,Durham Bridge,46.1255818,-66.6090704,"Durham Bridge, Saint Marys Parish, York County / Comté d'York, New Brunswick / Nouveau-Brunswick, E6C 1K8, Canada",29.076631546020508,CYFC
YQY,Eskasoni,45.9460215,-60.600953,"Eskasoni First Nation, Cape Breton County, Nova Scotia, Canada",48.94489288330078,CYQY
YCT,Flagstaff County,52.7117756,-111.8125764,"Flagstaff County, Alberta, Canada",75.07054901123047,CYCT
YGK,Frontenac,44.6102902,-76.6330415,"Frontenac County, Eastern Ontario, Ontario, Canada",42.905155181884766,CYGK
YYG,Georgetown,46.1844077,-62.5315437,"Georgetown, Town of Three Rivers, Kings County, Prince Edward Island, Canada",46.838748931884766,CYYG
YXD,Granville,53.5046636,-113.682685,"Granville, The Grange, Edmonton, Division No. 11, Alberta, T5P 4K2, Canada",13.078407287597656,CYEG
PMB,Hanover,49.4215895,-96.7814848768908,"Rural Municipality of Hanover, Division No. 2, Manitoba, Canada",62.86834716796875,CKA4
YHZ,Harrigan Cove,44.931389,-62.2961147,"Harrigan Cove, Halifax Regional Municipality, Halifax County, Nova Scotia, Canada",95.65447998046875,CYHZ
YPQ,Harwood,44.1404478,-78.1821844,"Harwood, Hamilton Township, Northumberland County, Central Ontario, Ontario, K9J 6X8, Canada",17.541595458984375,CYPQ
YBX,Hawke's Bay,50.61196615,-57.2071007020072,"Hawkes Bay, Newfoundland, Newfoundland and Labrador, A0K 3B0, Canada",92.48612976074219,CYBX
YYT,Hodge's Cove,48.01287395,-53.7413004841424,"Hodge's Cove, Newfoundland, Newfoundland and Labrador, Canada",85.90605163574219,CYYT
YHE,Hope,49.3799622,-121.44162,"Hope, Fraser Valley Regional District, British Columbia, Canada",4.2830305099487305,CBB7
YQM,Hopewell Hill,45.7659024,-64.6834075,"Hopewell Hill, Hopewell Parish, Albert County, New Brunswick / Nouveau-Brunswick, Canada",38.508575439453125,CYQM
