csv_title,download_url,extracted_at,category,mp_id,institution,caucus,name,constituency,year,quarter,claim
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': 'T0205197', 'transport_cost': '43.66', 'accommodation_cost': '0.00', 'meals_and_incidentals_cost': '0.00', 'reg_points_used': '0.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-04-21', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-05-08', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-05-08', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-05-08', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'To conduct constituency office business', 'date': '2020-05-17', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'To conduct constituency office business', 'date': '2020-05-17', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'To conduct constituency office business', 'date': '2020-05-17', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'To conduct constituency office business', 'date': '2020-05-17', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-05-22', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-05-22', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-05-22', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-04-21', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-05-22', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-04-22', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-04-22', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-05-05', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-05-05', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-05-05', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-05-05', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Talbot, Jean-Sébastien', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-05-08', 'departure': 'Longueuil', 'destination': 'Longueuil'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': 'T0205190', 'transport_cost': '73.34', 'accommodation_cost': '0.00', 'meals_and_incidentals_cost': '0.00', 'reg_points_used': '0.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To conduct constituency office business', 'date': '2020-05-08', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To conduct constituency office business', 'date': '2020-05-08', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To conduct constituency office business', 'date': '2020-05-08', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-05-21', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-05-21', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-05-17', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-05-17', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-05-17', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-05-17', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-05-22', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-04-21', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-05-22', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-05-22', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-05-22', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-04-22', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-04-21', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend a constituency or community event', 'date': '2020-04-22', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To conduct constituency office business', 'date': '2020-05-05', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To conduct constituency office business', 'date': '2020-05-05', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To conduct constituency office business', 'date': '2020-05-05', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To conduct constituency office business', 'date': '2020-05-05', 'departure': 'Longueuil', 'destination': 'Longueuil'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To conduct constituency office business', 'date': '2020-05-08', 'departure': 'Longueuil', 'destination': 'Longueuil'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': 'T0202599', 'transport_cost': '203.99', 'accommodation_cost': '0.00', 'meals_and_incidentals_cost': '257.81', 'reg_points_used': '1.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-05-24', 'departure': 'Longueuil', 'destination': 'Ottawa'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-05-26', 'departure': 'Ottawa', 'destination': 'Longueuil'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': 'T0202600', 'transport_cost': '203.99', 'accommodation_cost': '0.00', 'meals_and_incidentals_cost': '79.87', 'reg_points_used': '1.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-06-04', 'departure': 'Longueuil', 'destination': 'Ottawa'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-06-04', 'departure': 'Ottawa', 'destination': 'Longueuil'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': 'T0202601', 'transport_cost': '203.99', 'accommodation_cost': '0.00', 'meals_and_incidentals_cost': '98.30', 'reg_points_used': '1.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-06-08', 'departure': 'Longueuil', 'destination': 'Ottawa'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-06-08', 'departure': 'Ottawa', 'destination': 'Longueuil'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': 'T0202602', 'transport_cost': '203.99', 'accommodation_cost': '0.00', 'meals_and_incidentals_cost': '98.30', 'reg_points_used': '1.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-06-10', 'departure': 'Longueuil', 'destination': 'Ottawa'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-06-10', 'departure': 'Ottawa', 'destination': 'Longueuil'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': 'T0203175', 'transport_cost': '71.48', 'accommodation_cost': '0.00', 'meals_and_incidentals_cost': '18.21', 'reg_points_used': '0.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend an event as a guest speaker', 'date': '2020-06-11', 'departure': 'Longueuil', 'destination': 'Salaberry-de-Valleyfield'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To attend an event as a guest speaker', 'date': '2020-06-11', 'departure': 'Salaberry-de-Valleyfield', 'destination': 'Longueuil'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': 'T0203182', 'transport_cost': '71.48', 'accommodation_cost': '0.00', 'meals_and_incidentals_cost': '18.21', 'reg_points_used': '0.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Lepage, Cathy', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-06-11', 'departure': 'Longueuil', 'destination': 'Salaberry-de-Valleyfield'}, {'traveller_name': 'Lepage, Cathy', 'traveller_type': 'Employee', 'purpose_of_travel': 'Attending event with Member', 'date': '2020-06-11', 'departure': 'Salaberry-de-Valleyfield', 'destination': 'Longueuil'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': 'T0202603', 'transport_cost': '203.99', 'accommodation_cost': '0.00', 'meals_and_incidentals_cost': '98.30', 'reg_points_used': '1.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-06-16', 'departure': 'Longueuil', 'destination': 'Ottawa'}, {'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'To travel to/from constituency and Ottawa', 'date': '2020-06-16', 'departure': 'Ottawa', 'destination': 'Longueuil'}]}"
"Members – Detailed Travel Expenditures Report – Trudel, Denis – Q2 2021",https://www.ourcommons.ca/ProactiveDisclosure/en/members/travel/2021/2/b7d8ef76-cb64-4a50-9ada-211d2a202a11/csv,2024-05-21 16:17:17.752674+00:00,travel,b7d8ef76-cb64-4a50-9ada-211d2a202a11,Members,Bloc Québécois,"Trudel, Denis",Longueuil—Saint-Hubert,2020,2,"{'claim_id': '200430804', 'transport_cost': '0.00', 'accommodation_cost': '1860.00', 'meals_and_incidentals_cost': '0.00', 'reg_points_used': '0.0', 'special_points_used': '0.0', 'USA_points_used': '0.0', 'travel_events': [{'traveller_name': 'Trudel, Denis', 'traveller_type': 'Member', 'purpose_of_travel': 'Secondary Residence', 'date': '2020-08-01', 'departure': 'Gatineau', 'destination': 'Gatineau'}]}"
