"Date,Location,Total of Attendees,Purpose of Hospitality,Type of Event,Claim,Supplier,Total,MP Office"
2021/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0270494,Costco,47.50,"Aboultaif, Ziad"
2021/04/01,Edmonton,0,To meet visitors of Member’s office,Hosting a meeting,M0270494,Walmart,25.00,"Aboultaif, Ziad"
2021/04/16,Edmonton,2,To plan Member's priorities and activities,Hosting a staff event,M0270494,Sahara Palace,37.37,"Aboultaif, Ziad"
2021/04/29,Edmonton,2,To plan Member's priorities and activities,Hosting a staff event,M0270494,Sahara Palace,66.70,"Aboultaif, Ziad"
2021/04/01,West Kelowna,0,To meet visitors of Member’s office,Hosting a meeting,M0272094,Canadian Springs,16.20,"Albas, Dan"
2021/04/20,Richmond Hill,3,To plan Member's priorities and activities,Hosting a staff event,M0268221,UBER EATS,51.44,"Alleslev, Leona"
2021/05/16,Scarborough,50,To meet constituents,Meal at a community activity or event,M0271709,Boston Pizza,467.50,"Anandasangaree, Gary"
2021/05/27,Scarborough,10,To meet constituents,Meal at a community activity or event,M0271745,Tim Hortons,23.90,"Anandasangaree, Gary"
2021/04/01,Dalhousie,0,To meet visitors of Member’s office,Hosting a meeting,M0270980,Nespresso,256.60,"Arseneault, René"
2021/05/19,Charlo,6,To plan Member's priorities and activities,Hosting a meeting,M0271236,Le Pichet,503.01,"Arseneault, René"
2021/06/02,Edmundston,3,To plan Member's priorities and activities,Hosting a staff event,M0271910,Le moulin à café,91.85,"Arseneault, René"
2021/05/28,Smithers,2,To meet constituents,Hosting a meeting,M0271606,Two Sisters Cafe,42.25,"Bachrach, Taylor"
2021/04/01,Montréal,0,To meet visitors of Member’s office,Hosting a meeting,M0271736,IGA,19.96,"Beaulieu, Mario"
2021/05/24,Montreal,50,To celebrate a significant event,Hosting a town hall or community event,M0270970,Judith Minier,100.00,"Beaulieu, Mario"
2021/05/24,Montreal,50,To celebrate a significant event,Hosting a town hall or community event,M0270971,François Gaulin ,100.00,"Beaulieu, Mario"
2021/05/24,Montreal,50,To celebrate a significant event,Hosting a town hall or community event,M0270973,Laporte Gilles,150.00,"Beaulieu, Mario"
2021/06/10,Montreal,8,To discuss constituency issues with stakeholders,Hosting a meeting,M0272828,Boulzeye pub & attractions,181.00,"Beaulieu, Mario"
2021/04/01,Calgary,0,To meet visitors of Member’s office,Hosting a meeting,M0267946,Costco Wholesale,141.94,"Benzen, Bob"
2021/04/01,Calgary,0,To meet visitors of Member’s office,Hosting a meeting,M0267946,Staples Canada,39.98,"Benzen, Bob"
2021/04/01,Ottawa,0,To meet visitors of Member’s office,Hosting a meeting,M0272762,Kim Baker,21.99,"Bergen, Candice"
2021/04/01,Thetford Mines,0,To meet visitors of Member’s office,Hosting a meeting,M0270546,IGA St-Pierre et Fils,19.99,"Berthold, Luc"
2021/04/01,Thetford Mines,0,To meet visitors of Member’s office,Hosting a meeting,M0270546,Dépanneur Marie-Anne,3.10,"Berthold, Luc"
2021/04/03,Thetford Mines,0,To celebrate a significant event,Meal at a community activity or event,M0270546,Cégep de Thetford,40.00,"Berthold, Luc"
2021/04/01,Lebel-sur-Quévillon,0,To meet visitors of Member’s office,Hosting a meeting,M0271206,Provigo,46.96,"Bérubé, Sylvie"
2021/04/04,Val-d'Or,45,To meet constituents,Hosting a town hall or community event,M0266615,IGA Pelletier,496.67,"Bérubé, Sylvie"
2021/05/29,Chibougamau,1,To meet constituents,Meal at a community activity or event,M0272407,Club Kiwanis Chibougamau,150.00,"Bérubé, Sylvie"
2021/04/01,Selkirk,0,To meet visitors of Member’s office,Hosting a meeting,M0271234,No Frills,35.83,"Bezan, James"
2021/04/01,Selkirk,0,To meet visitors of Member’s office,Hosting a meeting,M0268151,NoFrills,31.94,"Bezan, James"
2021/05/29,Selkirk,1,To meet constituents,Meal at a community activity or event,M0271634,Selkirk Rotary Club,120.00,"Bezan, James"
2021/05/07,Coaticook,0,To meet constituents,Meal at a community activity or event,M0272007,La Fondation du CSSS de la MRC-de-Coaticook ,45.00,"Bibeau, Marie-Claude"
2021/05/09,Sherbrooke,100,To meet constituents,Hosting a town hall or community event,M0269637,Erabliere du village,72.19,"Bibeau, Marie-Claude"
2021/05/29,Sherbrooke,0,To meet constituents,Meal at a community activity or event,M0271941,Stentors,55.00,"Bibeau, Marie-Claude"
2021/04/01,Chambly,0,To meet visitors of Member’s office,Hosting a meeting,M0268808,Bean et Bonheur Artisan Torréfacteur,65.00,"Blanchet, Yves-François"
2021/04/01,Chambly,0,To meet visitors of Member’s office,Hosting a meeting,M0272780,Marché Collin,33.23,"Blanchet, Yves-François"
2021/04/08,Rimouski,2,To plan Member's priorities and activities,Hosting a staff event,M0269453,Érablière D'astous ,47.95,"Blanchette-Joncas, Maxime"
2021/04/08,Rimouski,2,To plan Member's priorities and activities,Hosting a staff event,M0269453,Érablière St-Germain,65.00,"Blanchette-Joncas, Maxime"
2021/04/08,Rimouski,2,To plan Member's priorities and activities,Hosting a staff event,M0269453,Cabane à sucre d'la Bonaventure,150.31,"Blanchette-Joncas, Maxime"
2021/05/08,Rimouski,3,To celebrate a significant event,Meal at a community activity or event,M0272240,Fondation du Centre jeunesse du Bas-St-Laurent,330.00,"Blanchette-Joncas, Maxime"
2021/06/01,Rimouski,4,To meet constituents,Hosting a meeting,M0272252,Pacini Rimouski ,166.52,"Blanchette-Joncas, Maxime"
2021/06/01,Rimouski,4,To plan Member's priorities and activities,Hosting a meeting,M0272252,Restaurant Normandin ,48.60,"Blanchette-Joncas, Maxime"
2021/06/02,Rimouski,3,To plan Member's priorities and activities,Hosting a meeting,M0272252,"L'oriental, cuisine du monde",56.94,"Blanchette-Joncas, Maxime"
2021/06/02,Rimouski,3,To plan Member's priorities and activities,Hosting a meeting,M0272252,Thaïzone,59.49,"Blanchette-Joncas, Maxime"
2021/06/03,Rimouski,2,To plan Member's priorities and activities,Hosting a meeting,M0272252,Buffet de Marque ,52.95,"Blanchette-Joncas, Maxime"
