claim_id,from_date,end_date,transport_cost,accommodation_cost,meals_and_incidentals_cost,reg_points_used,special_points_used,USA_points_used,total_cost,mp_office
T0213122,2021/03/17,2021/06/17,0.0000,201.7400,0.0000,0,0,0,201.74,"Aboultaif, Ziad"
200488888,2021/04/01,2021/04/30,0.0000,2055.6100,0.0000,0,0,0,2055.61,"Aboultaif, Ziad"
T0213140,2021/04/01,2021/05/31,188.7700,0.0000,70.9100,0.0000,0.0000,0,259.68,"Aboultaif, Ziad"
200491803,2021/05/01,2021/05/31,0.0000,2055.6100,0.0000,0,0,0,2055.61,"Aboultaif, Ziad"
200500189,2021/06/01,2021/06/30,0.0000,-202.8800,0.0000,0,0,0,-202.88,"Aboultaif, Ziad"
200498334,2021/06/01,2021/06/30,0.0000,2055.6100,0.0000,0,0,0,2055.61,"Aboultaif, Ziad"
T0213504,2021/06/14,2021/06/21,1100.9000,0.0000,0.0000,1.0000,0,0,1100.90,"Aboultaif, Ziad"
200503092,2021/07/01,2021/07/31,0.0000,1852.7300,0.0000,0,0,0,1852.73,"Aboultaif, Ziad"
T0212390,2021/05/01,2021/05/05,141.5600,0.0000,0.0000,0.0000,0,0,141.56,"Aitchison, Scott"
T0212466,2021/05/09,2021/05/14,335.3600,676.7900,481.6100,1.0000,0,0,1493.76,"Aitchison, Scott"
T0212825,2021/05/30,2021/06/07,335.3600,961.1400,716.3800,1.0000,0,0,2012.88,"Aitchison, Scott"
T0213047,2021/03/19,2021/05/19,0.0000,57.5300,0.0000,0,0,0,57.53,"Albas, Dan"
200488889,2021/04/01,2021/04/30,0.0000,1151.0000,0.0000,0,0,0,1151.00,"Albas, Dan"
T0212658,2021/04/10,2021/05/07,2304.0000,0.0000,1537.8100,1.0000,0,0,3841.81,"Albas, Dan"
200491804,2021/05/01,2021/05/31,0.0000,1151.0000,0.0000,0,0,0,1151.00,"Albas, Dan"
200498335,2021/06/01,2021/06/30,0.0000,1151.0000,0.0000,0,0,0,1151.00,"Albas, Dan"
200503093,2021/07/01,2021/07/31,0.0000,1151.0000,0.0000,0,0,0,1151.00,"Albas, Dan"
T0212421,2021/04/01,2021/04/30,0.0000,1587.9900,0.0000,0,0,0,1587.99,"Alghabra, Hon. Omar"
T0212926,2021/05/01,2021/06/17,0.0000,1637.9900,0.0000,0,0,0,1637.99,"Alghabra, Hon. Omar"
T0213391,2021/06/08,2021/06/08,171.0000,0.0000,62.2300,0,0.0000,0,233.23,"Alghabra, Hon. Omar"
T0213392,2021/06/12,2021/06/12,171.0000,0.0000,65.8500,0,0.0000,0,236.85,"Alghabra, Hon. Omar"
T0213389,2021/06/13,2021/06/18,456.0000,0.0000,600.8000,1.0000,0,0,1056.80,"Alghabra, Hon. Omar"
T0212026,2021/02/24,2021/03/25,0.0000,30.2500,0.0000,0,0,0,30.25,"Alleslev, Leona"
