icao,name,latitude,longitude,city,iata,province
KLGA,La Guardia Airport,40.77719879,-73.87259674,New York,LGA,New York
KDCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,Washington DC,DCA,Washington DC
CAA8,Invermere Airport,50.5167007446,-116,Invermere,,British Columbia
CAD4,Trail Airport,49.0555992126,-117.60900116,Trail,YZZ,British Columbia
CAD5,Merritt Airport,50.1227989197,-120.7470016479,Merritt,,British Columbia
CAE4,Tsacha Lake Airport,53.0167007446,-124.8330001831,Tsacha Lake,,British Columbia
CAF4,Tsuniah Lake Lodge Airport,51.5332984924,-124.1669998169,Tsuniah Lake Lodge,,British Columbia
CAG3,Chilko Lake (Tsylos Park Lodge) Airport,51.6260986328,-124.141998291,Chilko Lake,,British Columbia
CAH3,Courtenay Airpark,49.6794013977,-124.9820022583,Courtenay,,British Columbia
CAH4,Valemount Airport,52.8532981873,-119.3339996338,Valemount,,British Columbia
CAJ2,Wiley Airport,66.4910964966,-136.5729980469,Eagle Plains,,Yukon
CAJ3,Art Sutcliffe Field,49.0368995667,-116.4980010986,Creston,,British Columbia
CAJ4,Anahim Lake Airport,52.4524993896,-125.3030014038,Anahim Lake,YAA,British Columbia
CAJ7,Cayley A J Flying Ranch Airport,50.4500007629,-113.75,Cayley,,Alberta
CAJ9,Fort Ware Airport,57.4272003174,-125.6500015259,Fort Ware,,British Columbia
CAM4,Alhambra / Ahlstrom,52.3461940388,-114.667525291,,,Alberta
CAM5,Houston Airport,54.4392009821,-126.778879166,Houston,,British Columbia
CAP3,Sechelt-Gibsons Airport,49.4606018066,-123.71900177,Sechelt-Gibsons,,British Columbia
CAP6,Ingenika Airport,56.790599823,-124.8970031738,Ingenika,,British Columbia
CAQ4,Springhouse Airpark,51.9556007385,-122.138999939,Springhouse,,British Columbia
CAQ5,Nakusp Airport,50.2663993835,-117.81300354,Nakusp,,British Columbia
CAR2,Crawford Bay Airport,49.6666984558,-116.8170013428,Crawford Bay,,British Columbia
CAS2,Moose Lake (Lodge) Airport,53.073299408,-125.408996582,Moose Lake,,British Columbia
CAS3,Barkerville Airport,53.0881004333,-121.5149993896,Barkerville,,British Columbia
CAT4,Qualicum Beach Airport,49.3372001648,-124.3939971924,Qualicum Beach,,British Columbia
CAT5,Port Mcneill Airport,50.5755996704,-127.0289993286,Port Mcneill,,British Columbia
CAU3,Oliver Airport,49.1733016968,-119.5510025024,Oliver,,British Columbia
CAU4,Vanderhoof Airport,54.0461006165,-124.0120010376,Vanderhoof,,British Columbia
CAV3,One Hundred Mile House Airport,51.6425018311,-121.3069992065,One Hundred Mile House,,British Columbia
CAV4,Mcbride Airport,53.3149986267,-120.1709976196,Mcbride,,British Columbia
CAW3,Scum Lake Airport,51.7999992371,-123.5830001831,Scum Lake,,British Columbia
CAX2,Axe Lake,57.2691650391,-109.8475036621,,,Saskatchewan
CAX5,Likely Airport,52.6166992188,-121.5,Likely,,British Columbia
CAY2,Gang Ranch Airport,51.551700592,-122.327003479,Gang Ranch,,British Columbia
CAZ5,Cache Creek-Ashcroft Regional Airport,50.7751091109,-121.321227551,Cache Creek,,British Columbia
CBA8,Beaverley Airport,53.8555984497,-122.9079971313,Beaverley,,British Columbia
CBA9,Ospika Airport,56.2750015259,-124.0520019531,Ospika,,British Columbia
CBB7,Tipella Airport,49.7430992126,-122.1630020142,Tipella,,British Columbia
CBB9,Osoyoos Airport,49.0372009277,-119.488998413,Osoyoos,,British Columbia
CBBC,Bella Bella (Campbell Island) Airport,52.1850013733,-128.1569976807,Bella Bella,ZEL,British Columbia
CBC2,Ford Bay Airport,66.0374984741,-124.7149963379,Ford Bay,,Northwest Territories
CBD6,Nahanni Butte Airport,61.0297012329,-123.388999939,Nahanni Butte,,Northwest Territories
CBE2,Elko Airport,49.2832984924,-115.1500015259,Elko,,British Columbia
CBF9,Mabel Lake Airport,50.6088981628,-118.7310028076,Mabel Lake,,British Columbia
CBG2,Green Lake Airport,51.4294013977,-121.2099990845,Green Lake,,British Columbia
CBH2,Helmet Airport,59.4258003235,-120.797996521,Helmet,,British Columbia
CBH4,Prairie Creek Airport,61.5647010803,-124.8150024414,Prairie Creek,,Northwest Territories
CBJ4,Echo Valley Airport,51.2416992188,-121.9940032959,Echo Valley,,British Columbia
CBK6,Quesnel Lake Airport,52.5149993896,-121.0449981689,Quesnel Lake,,British Columbia
CBK7,Mile 422 (Alaska Highway) Airport,58.8493995667,-125.2399978638,Toad River,,British Columbia
CBL3,Gordon Field,58.8166999817,-122.7829971313,Fort Nelson,,British Columbia
