Member
"Brock, Larry"
"Baldinelli, Tony"
"Sweet, David"
"Davies, Don"
"Morantz, Marty"
"Bergen, Hon. Candice"
"Singh, Jagmeet"
"Beaulieu, Mario"
"Duncan, Eric"
"Ien, Hon. Marci"
"Wilkinson, Hon. Jonathan"
"LeBlanc, Hon. Dominic"
"Fry, Hon. Hedy"
"McKinnon, Ron"
"Chabot, Louise"
"d'Entremont, Chris"
"Iacono, Angelo"
"Vignola, Julie"
"Brière, Élisabeth"
"Atwin, Jenica"
"Thomas, Rachael"
"Fraser, Hon. Sean"
"O'Toole, Hon. Erin"
"Diotte, Kerry"
"Kusmierczyk, Irek"
"Gray, Tracy"
"Koutrakis, Annie"
"Cumming, James"
"Powlowski, Marcus"
"Viersen, Arnold"
"Ramsey, Tracey"
"Shanahan, Brenda"
"Joly, Hon. Mélanie"
"Sousa, Charles"
"Epp, Dave"
"Fillmore, Andy"
"Dalton, Marc"
"Blanchette-Joncas, Maxime"
"Findlay, Hon. Kerry-Lynne"
"Kramp-Neuman, Shelby"
"McGuinty, Hon. David"
"Anand, Hon. Anita"
"Hutchings, Hon. Gudie"
"Boudrias, Michel"
"Wagantall, Cathay"
"Hajdu, Hon. Patty"
"Vuong, Kevin"
"Zahid, Salma"
"MacDonald, Heath"
"Bachrach, Taylor"
"Sajjan, Hon. Harjit S."
"Aboultaif, Ziad"
"Plamondon, Louis"
"Rodriguez, Hon. Pablo"
"Therrien, Alain"
"Brunelle-Duceppe, Alexis"
"Falk, Rosemarie"
"McLean, Greg"
"Yip, Jean"
"Hepfner, Lisa"
"Liepert, Ron"
"Wilson-Raybould, Hon. Jody"
"Gladu, Marilyn"
"Champoux, Martin"
"Carr, Hon. Jim"
"Bérubé, Sylvie"
"Ehsassi, Ali"
"Charbonneau, Louise"
"Fisher, Darren"
"Erskine-Smith, Nathaniel"
"Tochor, Corey"
"Villemure, René"
"O’Toole, Erin"
"Lebouthillier, Hon. Diane"
"Taylor Roy, Leah"
"Champagne, Hon. François-Philippe"
"Van Bynen, Tony"
"Morrison, Rob"
"Gallant, Cheryl"
"Bittle, Chris"
"Rayes, Alain"
"Maguire, Larry"
"Gourde, Jacques"
"Dubourg, Emmanuel"
"Zimmer, Bob"
"Miao, Wilson"
"Ali, Shafqat"
"O’Regan, Seamus"
"Bendayan, Rachel"
"Morneau, Bill"
"Robillard, Yves"
"Green, Matthew"
"Nater, John"
"Masse, Brian"
"Shields, Martin"
"Ratansi, Yasmin"
"Vien, Dominique"
"Badawey, Vance"
"Young, Kate"
"Bibeau, Hon. Marie-Claude"
"Saroya, Bob"
"Genuis, Garnett"
"Kelly, Pat"
"Rood, Lianne"
"Scheer, Hon. Andrew"
"Blois, Kody"
"Blanchet, Yves-François"
"Jansen, Tamara"
"Duvall, Scott"
"O'Connell, Jennifer"
"Rota, Hon. Anthony"
"Warkentin, Chris"
"Kitchen, Robert"
"Chahal, George"
"Ellis, Neil"
"LaPointe, Viviane"
"Lehoux, Richard"
"Spengemann, Sven"
"Guilbeault, Hon. Steven"
"Albas, Dan"
"Duclos, Hon. Jean-Yves"
"Roberts, Anna"
"Morrissey, Robert"
"Cannings, Richard "
"Finnigan, Pat"
"Bains, Parm"
"Steinley, Warren"
"Martinez Ferrada, Soraya"
"Jaczek, Hon. Helena"
"Vaughan, Adam"
"Johns, Gord"
"Bains, Hon. Navdeep"
"Harris, Jack"
"Carrie, Colin"
"Sheehan, Terry"
"St-Onge, Hon. Pascale"
"Serré, Marc"
"Vecchio, Karen"
"Bratina, Bob"
"MacKenzie, Dave"
"Hallan, Jasraj Singh"
"Berthold, Luc"
"Bradford, Valerie"
"Lefebvre, Paul"
"Williamson, John"
"Pauzé, Monique"
"Webber, Len"
"Généreux, Bernard"
"Housefather, Anthony"
"Gaheer, Iqwinder"
"Dhaliwal, Sukh"
"Simard, Mario"
"Naqvi, Yasir"
"Cooper, Michael"
"Kelloway, Mike"
"Samson, Darrell"
"Sikand, Gagan"
"Finley, Diane"
"Moore, Hon. Rob"
"Trudel, Denis"
"Sarai, Randeep"
"Mathyssen, Lindsay"
"Lukiwski, Tom"
"Kusie, Stephanie"
"Anandasangaree, Gary"
"O’Connell, Jennifer"
"Normandin, Christine"
"Barron, Lisa Marie"
"Weiler, Patrick"
"Gaudreau, Marie-Hélène"
"Holland, Hon. Mark"
"Lamoureux, Kevin"
"Tabbara, Marwan"
"Baker, Yvan"
"Goodridge, Laila"
"Mazier, Dan"
"Hughes, Carol"
"Ferreri, Michelle"
"Small, Clifford"
"Julian, Peter"
"Zuberi, Sameer"
"McColeman, Phil"
"Coteau, Michael"
"Schulte, Hon. Deb"
"Drouin, Francis"
"May, Bryan"
"Sangha, Ramesh"
"Benzen, Bob"
"Schiefke, Peter"
"Paul-Hus, Pierre"
"Lattanzio, Patricia"
"Vis, Brad"
"Petitpas Taylor, Hon. Ginette"
"McDonald, Ken"
"Harder, Rachael"
"Turnbull, Ryan"
"McKenna, Catherine"
"Bezan, James"
"Louis, Tim"
"Easter, Hon. Wayne"
"Duncan, Hon. Kirsty"
"Dancho, Raquel"
"Saks, Ya'ara"
"Kwan, Jenny"
"Scarpaleggia, Francis"
"Sahota, Ruby"
"Fast, Hon. Ed"
"Ouellette, Robert-Falcon"
"d’Entremont, Chris"
"Kent, Hon. Peter"
"Arya, Chandra"
"Desjarlais, Blake"
"Ste-Marie, Gabriel"
"Falk, Ted"
"Sgro, Hon. Judy A."
"Sinclair-Desgagné, Nathalie"
"DeBellefeuille, Claude"
"Bessette, Lyne"
"Bragdon, Richard"
"Collins, Laurel"
"Maloney, James"
"May, Elizabeth"
"Mendès, Alexandra"
"Alghabra, Hon. Omar"
"Freeland, Hon. Chrystia"
"Virani, Arif"
"Deltell, Gérard"
"Gould, Hon. Karina"
"Dabrusin, Julie"
