claim_id,traveller_name,traveller_type,purpose_of_travel,date,departure,destination,mp_office
T0213122,"Aboultaif, Ziad",Member,Secondary Residence,2021/03/17,Ottawa,Ottawa,"Aboultaif, Ziad"
T0213122,"Aboultaif, Ziad",Member,Secondary Residence,2021/04/17,Ottawa,Ottawa,"Aboultaif, Ziad"
T0213122,"Aboultaif, Ziad",Member,Secondary Residence,2021/05/17,Ottawa,Ottawa,"Aboultaif, Ziad"
T0213122,"Aboultaif, Ziad",Member,Secondary Residence,2021/04/18,Ottawa,Ottawa,"Aboultaif, Ziad"
200488888,"Aboultaif, Ziad",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To attend meetings with stakeholders about business of the House,2021/04/01,Edmonton,Tees,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To attend meetings with stakeholders about business of the House,2021/04/01,Tees,Edmonton,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To attend a constituency or community event,2021/04/13,Edmonton,Edmonton,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To attend a constituency or community event,2021/04/13,Edmonton,Edmonton,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To attend a constituency or community event,2021/04/13,Edmonton,Edmonton,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To conduct constituency office business,2021/04/23,Edmonton,Edmonton,"Aboultaif, Ziad"
T0213140,"Aboultaif, Ziad",Member,To conduct constituency office business,2021/04/23,Edmonton,Edmonton,"Aboultaif, Ziad"
200491803,"Aboultaif, Ziad",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Aboultaif, Ziad"
200500189,"Aboultaif, Ziad",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Aboultaif, Ziad"
200498334,"Aboultaif, Ziad",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Aboultaif, Ziad"
T0213504,,Designated Traveller,To unite the family with the Member,2021/06/14,Edmonton,Ottawa,"Aboultaif, Ziad"
T0213504,,Designated Traveller,To unite the family with the Member,2021/06/21,Ottawa,Edmonton,"Aboultaif, Ziad"
200503092,"Aboultaif, Ziad",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Aboultaif, Ziad"
T0212390,"Aitchison, Scott",Member,To attend a constituency or community event,2021/05/01,Baysville,Magnetawan,"Aitchison, Scott"
T0212390,"Aitchison, Scott",Member,To attend a constituency or community event,2021/05/01,Magnetawan,Baysville,"Aitchison, Scott"
T0212390,"Aitchison, Scott",Member,To attend a constituency or community event,2021/05/04,Baysville,Rosseau,"Aitchison, Scott"
T0212390,"Aitchison, Scott",Member,To attend a constituency or community event,2021/05/04,Rosseau,Baysville,"Aitchison, Scott"
T0212466,"Aitchison, Scott",Member,To travel to/from constituency and Ottawa,2021/05/09,Baysville,Ottawa,"Aitchison, Scott"
T0212466,"Aitchison, Scott",Member,To travel to/from constituency and Ottawa,2021/05/14,Ottawa,Baysville,"Aitchison, Scott"
T0212825,"Aitchison, Scott",Member,To travel to/from constituency and Ottawa,2021/05/30,Baysville,Ottawa,"Aitchison, Scott"
T0212825,"Aitchison, Scott",Member,To travel to/from constituency and Ottawa,2021/06/05,Ottawa,Baysville,"Aitchison, Scott"
T0213047,"Albas, Dan",Member,Secondary Residence,2021/04/19,Ottawa,Ottawa,"Albas, Dan"
T0213047,"Albas, Dan",Member,Secondary Residence,2021/03/19,Ottawa,Ottawa,"Albas, Dan"
200488889,"Albas, Dan",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Albas, Dan"
T0212658,"Albas, Dan",Member,To travel to/from constituency and Ottawa,2021/04/10,Kelowna,Ottawa,"Albas, Dan"
T0212658,"Albas, Dan",Member,To travel to/from constituency and Ottawa,2021/05/07,Ottawa,Kelowna,"Albas, Dan"
200491804,"Albas, Dan",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Albas, Dan"
200498335,"Albas, Dan",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Albas, Dan"
200503093,"Albas, Dan",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Albas, Dan"
T0212421,"Alghabra, Hon. Omar",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Alghabra, Hon. Omar"
T0212926,"Alghabra, Hon. Omar",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Alghabra, Hon. Omar"
T0212926,"Alghabra, Hon. Omar",Member,Secondary Residence,2021/05/18,Ottawa,Ottawa,"Alghabra, Hon. Omar"
T0213391,"Alghabra, Hon. Omar",Member,To attend meetings with stakeholders about business of the House,2021/06/08,Mississauga,London,"Alghabra, Hon. Omar"
T0213391,"Alghabra, Hon. Omar",Member,To attend meetings with stakeholders about business of the House,2021/06/08,London,Mississauga,"Alghabra, Hon. Omar"
T0213392,"Alghabra, Hon. Omar",Member,To attend meetings with stakeholders about business of the House,2021/06/12,Mississauga,London,"Alghabra, Hon. Omar"
T0213392,"Alghabra, Hon. Omar",Member,To attend meetings with stakeholders about business of the House,2021/06/12,London,Mississauga,"Alghabra, Hon. Omar"
T0213389,"Alghabra, Hon. Omar",Member,To travel to/from constituency and Ottawa,2021/06/13,Mississauga,Ottawa,"Alghabra, Hon. Omar"
T0213389,"Alghabra, Hon. Omar",Member,To travel to/from constituency and Ottawa,2021/06/18,Ottawa,Mississauga,"Alghabra, Hon. Omar"
T0212026,"Alleslev, Leona",Member,Secondary Residence,2021/02/24,Ottawa,Ottawa,"Alleslev, Leona"
T0212702,"Alleslev, Leona",Member,Secondary Residence,2021/03/25,Ottawa,Ottawa,"Alleslev, Leona"
200488890,"Alleslev, Leona",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Alleslev, Leona"
T0212025,"Alleslev, Leona",Member,Secondary Residence,2021/04/12,Ottawa,Ottawa,"Alleslev, Leona"
200491805,"Alleslev, Leona",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Alleslev, Leona"
T0212703,"Alleslev, Leona",Member,Secondary Residence,2021/05/12,Ottawa,Ottawa,"Alleslev, Leona"
200498336,"Alleslev, Leona",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Alleslev, Leona"
200503094,"Alleslev, Leona",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Alleslev, Leona"
200488891,"Allison, Dean",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Allison, Dean"
200491806,"Allison, Dean",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Allison, Dean"
200498337,"Allison, Dean",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Allison, Dean"
200503095,"Allison, Dean",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Allison, Dean"
200488892,"Anandasangaree, Gary",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Anandasangaree, Gary"
T0212161,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/04/14,Toronto,Ottawa,"Anandasangaree, Gary"
T0212161,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/04/17,Ottawa,Toronto,"Anandasangaree, Gary"
T0212165,"Turnbull, David",Employee,To travel to/from constituency and Ottawa,2021/04/16,Toronto,Ottawa,"Anandasangaree, Gary"
T0212165,"Turnbull, David",Employee,To travel to/from constituency and Ottawa,2021/04/18,Ottawa,Toronto,"Anandasangaree, Gary"
T0212163,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/04/20,Toronto,Ottawa,"Anandasangaree, Gary"
T0212163,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/04/22,Ottawa,Toronto,"Anandasangaree, Gary"
T0212199,"Anandasangaree, Gary",Member,Secondary Residence,2021/04/21,Ottawa,Ottawa,"Anandasangaree, Gary"
T0212568,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/05/01,Toronto,Ottawa,"Anandasangaree, Gary"
T0212568,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/05/06,Ottawa,Toronto,"Anandasangaree, Gary"
200491807,"Anandasangaree, Gary",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Anandasangaree, Gary"
T0212856,"Anandasangaree, Gary",Member,Secondary Residence,2021/05/21,Ottawa,Ottawa,"Anandasangaree, Gary"
T0212851,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/05/23,Toronto,Ottawa,"Anandasangaree, Gary"
T0212851,"Anandasangaree, Gary",Member,To travel to/from constituency and Ottawa,2021/05/27,Ottawa,Toronto,"Anandasangaree, Gary"
200498338,"Anandasangaree, Gary",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Anandasangaree, Gary"
200503096,"Anandasangaree, Gary",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Anandasangaree, Gary"
T0212768,"Angus, Charlie",Member,Secondary Residence,2021/03/06,Ottawa,Ottawa,"Angus, Charlie"
T0212768,"Angus, Charlie",Member,Secondary Residence,2021/04/07,Ottawa,Ottawa,"Angus, Charlie"
T0212768,"Angus, Charlie",Member,Secondary Residence,2021/02/04,Ottawa,Ottawa,"Angus, Charlie"
200488893,"Angus, Charlie",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Angus, Charlie"
T0211690,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/04/11,Cobalt,Ottawa,"Angus, Charlie"
T0211690,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/04/23,Ottawa,Cobalt,"Angus, Charlie"
T0212407,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/05/01,Cobalt,Ottawa,"Angus, Charlie"
T0212407,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/05/08,Ottawa,Cobalt,"Angus, Charlie"
200491808,"Angus, Charlie",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Angus, Charlie"
T0212763,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/05/24,Cobalt,Ottawa,"Angus, Charlie"
T0212763,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/06/05,Ottawa,Cobalt,"Angus, Charlie"
T0213222,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2021/05/28,Timmins,Cochrane,"Angus, Charlie"
T0213222,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2021/06/14,Cochrane,Timmins,"Angus, Charlie"
200498339,"Angus, Charlie",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Angus, Charlie"
T0213227,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/06/13,Cobalt,Ottawa,"Angus, Charlie"
T0213227,"Angus, Charlie",Member,To travel to/from constituency and Ottawa,2021/06/19,Ottawa,Cobalt,"Angus, Charlie"
T0213225,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2021/06/14,Timmins,Iroquois Falls,"Angus, Charlie"
T0213225,"Cardinal, Suzanne",Employee,To attend a constituency or community event,2021/06/14,Iroquois Falls,Timmins,"Angus, Charlie"
200503097,"Angus, Charlie",Member,Secondary Residence,2021/07/01,Ottawa,Ottawa,"Angus, Charlie"
200488894,"Arnold, Mel",Member,Secondary Residence,2021/04/01,Ottawa,Ottawa,"Arnold, Mel"
200491809,"Arnold, Mel",Member,Secondary Residence,2021/05/01,Ottawa,Ottawa,"Arnold, Mel"
T0212942,"Arnold, Mel",Member,To travel to/from constituency and Ottawa,2021/05/24,Salmon Arm,Ottawa,"Arnold, Mel"
T0212942,"Arnold, Mel",Member,To travel to/from constituency and Ottawa,2021/05/29,Ottawa,Salmon Arm,"Arnold, Mel"
T0213119,"Arnold, Mel",Member,Secondary Residence,2021/05/28,Ottawa,Ottawa,"Arnold, Mel"
200498340,"Arnold, Mel",Member,Secondary Residence,2021/06/01,Ottawa,Ottawa,"Arnold, Mel"
