location,latitude,longitude,nearest_airport,full_address
Flamborough,43.2580421,-80.1165966606872,YHM,"Flamborough—Glanbrook, Golden Horseshoe, Ontario, Canada"
Aroostook,46.8068421,-67.7213754,CAR,"Aroostook, Andover Parish, Victoria County, New Brunswick / Nouveau-Brunswick, Canada"
Paisley,53.4139488,-113.559332,YEG,"Paisley, Heritage Valley, Edmonton, Division No. 11, Alberta, Canada"
Les îles-de-la-Madeleine,47.4503778,-61.7290747,YGR,"Communauté maritime des Îles-de-la-Madeleine, Gaspésie–Îles-de-la-Madeleine, Québec, Canada"
Charlottetown,46.234953,-63.132935,YYG,"City of Charlottetown, Queens County, Prince Edward Island, Canada"
Yarmouth (County),43.8553447,-65.9143055,YQI,"Yarmouth County, Nova Scotia, Canada"
Saint-Elzéar (La Nouvelle-Beauce),46.408511,-71.061287,YQB,"Saint-Elzéar, La Nouvelle-Beauce, Chaudière-Appalaches, Québec, G0S 2J2, Canada"
Grassland,54.820556,-112.685833,YBY,"Grassland, Division No. 13, Alberta, T0A 1V0, Canada"
Saint-Michel,45.2381816,-73.5699087,YJN,"Saint-Michel, Les Jardins-de-Napierville, Montérégie, Québec, Canada"
Fatima,47.4036841,-61.9002135,YGR,"Fatima, Les Îles-de-la-Madeleine, Communauté maritime des Îles-de-la-Madeleine, Gaspésie–Îles-de-la-Madeleine, Québec, G4T 2N4, Canada"
Comber,42.2324646,-82.5524942,YQG,"Comber, Lakeshore, Essex County, Ontario, N0P 1J0, Canada"
Courcelles,45.873756,-70.984726,YSC,"Courcelles, Le Granit, Estrie, Québec, G0M 1C0, Canada"
Roxton Pond,45.4750988,-72.660142,ZBM,"Roxton Pond, La Haute-Yamaska, Estrie, Québec, J0E 1Z0, Canada"
Hays,50.0971846,-111.7950069,YSD,"Hays, Division No. 2, Alberta, Canada"
Saint-Lazare,45.3995886,-74.1359632,YUL,"Saint-Lazare, Vaudreuil-Soulanges, Montérégie, Québec, Canada"
Lennox Passage,45.5873745,-61.0925676,YPS,"Lennox Passage, Municipality of the County of Richmond, Richmond County, Nova Scotia, Canada"
Meadow Lake,54.13026,-108.435059,YLJ,"Meadow Lake, Division No. 17, Saskatchewan, Canada"
Shawnigan Lake,48.6538128,-123.6229791,YYJ,"Shawnigan Lake, Area B (Shawnigan Lake), Cowichan Valley Regional District, British Columbia, V0R 2W2, Canada"
Alert Bay,50.583333,-126.916667,YAL,"Alert Bay, Regional District of Mount Waddington, British Columbia, V0N 1A0, Canada"
Saint-Barnabé,46.394779,-72.880211,YRQ,"Saint-Barnabé, Maskinongé (MRC), Mauricie, Québec, G0X 2K0, Canada"
Whites Cove,48.4318922,-53.57923910717492,YQX,"Whites Cove, Newfoundland, Newfoundland and Labrador, Canada"
Saint-Arsène,47.9140407,-69.4356535,YRI,"Saint-Arsène, Rivière-du-Loup (MRC), Bas-Saint-Laurent, Québec, G5R 1L7, Canada"
Omemee,44.2992653,-78.5585004,YPQ,"Omemee, Kawartha Lakes, Central Ontario, Ontario, K0L 2W0, Canada"
Dodsland,51.8,-108.833333,YKY,"Dodsland, Division No. 13, Saskatchewan, Canada"
Pacquet,49.99303175,-55.8910491494186,YDF,"Pacquet, Newfoundland, Newfoundland and Labrador, Canada"
Beechwood,46.5433619,-67.6590973,PQI,"Beechwood, Kent Parish, Carleton County, New Brunswick / Nouveau-Brunswick, Canada"
Main-a-dieu,46.0051015,-59.8458285,YQY,"Main-à-Dieu, Cape Breton Regional Municipality, Cape Breton County, Nova Scotia, Canada"
Sainte-Marguerite (La Nouvelle-Beauce),46.5108351,-70.9373354,YQB,"Sainte-Marguerite, La Nouvelle-Beauce, Chaudière-Appalaches, Québec, G0S 2X0, Canada"
